Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02 00:00:00+08:00,226.0,227.5,224.0,225.0,2105523,0.0,0.0
2025-01-03 00:00:00+08:00,227.0,233.0,223.5,229.0,4455802,0.0,0.0
2025-01-06 00:00:00+08:00,232.0,236.5,227.0,235.0,5617912,0.0,0.0
2025-01-07 00:00:00+08:00,237.0,239.5,233.0,236.5,4935967,0.0,0.0
2025-01-08 00:00:00+08:00,234.0,237.0,234.0,235.5,2173363,0.0,0.0
2025-01-09 00:00:00+08:00,236.0,237.0,228.0,228.5,3186507,0.0,0.0
2025-01-10 00:00:00+08:00,231.0,238.5,230.5,235.0,3730424,0.0,0.0
2025-01-13 00:00:00+08:00,230.0,233.0,225.0,230.0,3365515,0.0,0.0
2025-01-14 00:00:00+08:00,231.5,237.0,229.5,234.5,2199718,0.0,0.0
2025-01-15 00:00:00+08:00,235.0,237.0,225.5,225.5,2268437,0.0,0.0
2025-01-16 00:00:00+08:00,228.5,231.5,228.0,229.0,1512731,0.0,0.0
2025-01-17 00:00:00+08:00,234.0,235.0,226.0,232.0,2709415,0.0,0.0
2025-01-20 00:00:00+08:00,234.0,245.0,233.0,241.0,8515594,0.0,0.0
2025-01-21 00:00:00+08:00,241.5,244.0,237.0,241.0,2955983,0.0,0.0
2025-01-22 00:00:00+08:00,241.5,253.0,241.5,250.0,9769263,0.0,0.0
2025-02-03 00:00:00+08:00,236.0,250.5,235.5,250.0,4492915,0.0,0.0
2025-02-04 00:00:00+08:00,253.0,253.5,236.0,238.0,6024844,0.0,0.0
2025-02-05 00:00:00+08:00,240.5,248.0,239.0,243.5,3874697,0.0,0.0
2025-02-06 00:00:00+08:00,246.0,251.5,244.0,244.0,3336737,0.0,0.0
2025-02-07 00:00:00+08:00,243.5,249.0,240.5,248.0,2965318,0.0,0.0
2025-02-10 00:00:00+08:00,246.0,252.5,243.0,247.5,3982068,0.0,0.0
2025-02-11 00:00:00+08:00,246.0,251.0,244.0,246.5,3322753,0.0,0.0
2025-02-12 00:00:00+08:00,246.0,266.5,245.5,262.5,14194923,0.0,0.0
2025-02-13 00:00:00+08:00,265.0,271.0,258.0,258.5,14169581,0.0,0.0
2025-02-14 00:00:00+08:00,259.5,262.5,251.0,251.5,5446330,0.0,0.0
2025-02-17 00:00:00+08:00,253.5,257.0,249.0,256.5,4448712,0.0,0.0
2025-02-18 00:00:00+08:00,257.5,268.0,257.0,258.0,8486719,0.0,0.0
2025-02-19 00:00:00+08:00,259.0,263.0,255.0,261.0,3769502,0.0,0.0
2025-02-20 00:00:00+08:00,261.0,264.5,260.0,261.5,2802630,0.0,0.0
2025-02-21 00:00:00+08:00,260.5,272.0,260.0,267.0,7378968,0.0,0.0
2025-02-24 00:00:00+08:00,263.0,267.0,262.0,266.0,2500878,0.0,0.0
2025-02-25 00:00:00+08:00,264.5,273.5,262.0,270.0,5029974,0.0,0.0
2025-02-26 00:00:00+08:00,270.0,285.0,269.0,277.5,11927830,0.0,0.0
2025-02-27 00:00:00+08:00,280.0,289.5,273.0,274.0,10862005,0.0,0.0
2025-03-03 00:00:00+08:00,268.0,276.0,257.0,263.0,8229507,0.0,0.0
2025-03-04 00:00:00+08:00,266.0,275.0,258.5,273.5,10343372,0.0,0.0
2025-03-05 00:00:00+08:00,274.0,279.0,269.5,269.5,6279807,0.0,0.0
2025-03-06 00:00:00+08:00,272.0,282.0,272.0,275.0,6880245,0.0,0.0
2025-03-07 00:00:00+08:00,273.0,281.0,268.0,270.0,6216834,0.0,0.0
2025-03-10 00:00:00+08:00,273.5,273.5,264.0,266.5,3540303,0.0,0.0
2025-03-11 00:00:00+08:00,258.0,258.0,244.0,257.5,6692272,0.0,0.0
2025-03-12 00:00:00+08:00,260.0,264.5,257.5,257.5,2998156,0.0,0.0
2025-03-13 00:00:00+08:00,262.0,269.5,256.0,256.0,4082401,0.0,0.0
2025-03-14 00:00:00+08:00,260.0,260.5,250.5,257.0,2820615,0.0,0.0
2025-03-17 00:00:00+08:00,269.0,270.0,261.0,263.0,7048067,0.0,0.0
2025-03-18 00:00:00+08:00,265.0,266.5,259.5,261.5,2946523,0.0,0.0
2025-03-19 00:00:00+08:00,261.0,261.0,257.0,258.0,1902519,0.0,0.0
2025-03-20 00:00:00+08:00,261.5,266.0,261.0,262.0,1899807,0.0,0.0
2025-03-21 00:00:00+08:00,262.5,267.5,260.5,261.0,2416351,0.0,0.0
2025-03-24 00:00:00+08:00,261.0,262.0,255.0,255.0,2176041,0.0,0.0
2025-03-25 00:00:00+08:00,259.5,261.5,257.0,258.5,2094258,0.0,0.0
2025-03-26 00:00:00+08:00,258.0,262.5,258.0,260.0,1119715,0.0,0.0
2025-03-27 00:00:00+08:00,257.0,258.0,254.0,257.0,1294540,0.0,0.0
2025-03-28 00:00:00+08:00,255.0,256.0,246.0,246.5,2992866,0.0,0.0
