Price,Close,High,Low,Open,Volume
Ticker,6139.TW,6139.TW,6139.TW,6139.TW,6139.TW
Date,,,,,
2025-01-02,225.0,227.5,224.0,226.0,2105523
2025-01-03,229.0,233.0,223.5,227.0,4455802
2025-01-06,235.0,236.5,227.0,232.0,5617912
2025-01-07,236.5,239.5,233.0,237.0,4935967
2025-01-08,235.5,237.0,234.0,234.0,2173363
2025-01-09,228.5,237.0,228.0,236.0,3186507
2025-01-10,235.0,238.5,230.5,231.0,3730424
2025-01-13,230.0,233.0,225.0,230.0,3365515
2025-01-14,234.5,237.0,229.5,231.5,2199718
2025-01-15,225.5,237.0,225.5,235.0,2268437
2025-01-16,229.0,231.5,228.0,228.5,1512731
2025-01-17,232.0,235.0,226.0,234.0,2709415
2025-01-20,241.0,245.0,233.0,234.0,8515594
2025-01-21,241.0,244.0,237.0,241.5,2955983
2025-01-22,250.0,253.0,241.5,241.5,9769263
2025-02-03,250.0,250.5,235.5,236.0,4492915
2025-02-04,238.0,253.5,236.0,253.0,6024844
2025-02-05,243.5,248.0,239.0,240.5,3874697
2025-02-06,244.0,251.5,244.0,246.0,3336737
2025-02-07,248.0,249.0,240.5,243.5,2965318
2025-02-10,247.5,252.5,243.0,246.0,3982068
2025-02-11,246.5,251.0,244.0,246.0,3322753
2025-02-12,262.5,266.5,245.5,246.0,14194923
2025-02-13,258.5,271.0,258.0,265.0,14169581
2025-02-14,251.5,262.5,251.0,259.5,5446330
2025-02-17,256.5,257.0,249.0,253.5,4448712
2025-02-18,258.0,268.0,257.0,257.5,8486719
2025-02-19,261.0,263.0,255.0,259.0,3769502
2025-02-20,261.5,264.5,260.0,261.0,2802630
2025-02-21,267.0,272.0,260.0,260.5,7378968
2025-02-24,266.0,267.0,262.0,263.0,2500878
2025-02-25,270.0,273.5,262.0,264.5,5029974
2025-02-26,277.5,285.0,269.0,270.0,11927830
2025-02-27,274.0,289.5,273.0,280.0,10862005
2025-03-03,263.0,276.0,257.0,268.0,8229507
2025-03-04,273.5,275.0,258.5,266.0,10343372
2025-03-05,269.5,279.0,269.5,274.0,6279807
2025-03-06,275.0,282.0,272.0,272.0,6880245
2025-03-07,270.0,281.0,268.0,273.0,6216834
2025-03-10,266.5,273.5,264.0,273.5,3540303
2025-03-11,257.5,258.0,244.0,258.0,6692272
2025-03-12,257.5,264.5,257.5,260.0,2998156
2025-03-13,256.0,269.5,256.0,262.0,4082401
2025-03-14,257.0,260.5,250.5,260.0,2820615
2025-03-17,263.0,270.0,261.0,269.0,7048067
2025-03-18,261.5,266.5,259.5,265.0,2946523
2025-03-19,258.0,261.0,257.0,261.0,1902519
2025-03-20,262.0,266.0,261.0,261.5,1899807
2025-03-21,261.0,267.5,260.5,262.5,2416351
2025-03-24,255.0,262.0,255.0,261.0,2176041
2025-03-25,258.5,261.5,257.0,259.5,2094258
2025-03-26,260.0,262.5,258.0,258.0,1119715
2025-03-27,257.0,258.0,254.0,257.0,1294540
2025-03-28,246.5,256.0,246.0,255.0,2992866
